species,high_income_mean,upper_middle_mean,log2_fold_change,p_value,high_prevalence,upper_prevalence,p_adjusted,significant
s__Brevibacterium_sp_CS2,0.0024611627906976747,0.003372823529411765,0.45461673446678447,2.8275071040408133e-31,0.008821170809943865,0.16470588235294117,4.868918483035797e-31,True
s__Rubrobacter_marinus,0.07062319967923016,0.001998235294117647,-5.143343738698759,5.757474668699626e-31,0.0056134723336006415,0.14705882352941177,9.892951097400003e-31,True
s__Kaistella_daneshvariae,0.0,0.0013722941176470588,23.710086490353934,6.614174794401021e-31,0.0,0.10588235294117647,1.1172781523734494e-30,True
s__Pedobacter_namyangjuensis,0.0,0.0024236470588235295,24.530676346822897,6.614174794401021e-31,0.0,0.10588235294117647,1.1172781523734494e-30,True
s__Agrococcus_sp_KRD186,0.0,0.0009008235294117647,23.102813240423558,6.614174794401021e-31,0.0,0.10588235294117647,1.1172781523734494e-30,True
s__Paracoccus_sp_Z118,0.0,0.0019114705882352942,24.18817974130703,6.614174794401021e-31,0.0,0.10588235294117647,1.1172781523734494e-30,True
s__GGB56395_SGB77806,0.0,0.004963647058823529,25.5648972292552,6.614174794401021e-31,0.0,0.10588235294117647,1.1172781523734494e-30,True
s__Siccirubricoccus_sp_G192,0.0,0.0018839411764705878,24.167250660231744,6.614174794401021e-31,0.0,0.10588235294117647,1.1172781523734494e-30,True
s__Hymenobacter_crusticola,0.0,0.00664864705882353,25.98655748064357,6.614174794401021e-31,0.0,0.10588235294117647,1.1172781523734494e-30,True
s__Prevotella_brevis,0.0,0.006885411764705884,26.03703961884728,6.614174794401021e-31,0.0,0.10588235294117647,1.1172781523734494e-30,True
s__Mordavella_massiliensis,0.01796551724137931,0.008229411764705883,-1.126369246623279,8.24070671510664e-31,0.008821170809943865,0.16470588235294117,1.3890980306688198e-30,True
s__Methylobacterium_oryzae,0.0005586527666399359,0.005633176470588235,3.3339246823920963,9.617891328546967e-31,0.00400962309542903,0.13529411764705881,1.617830562422953e-30,True
s__Serpentinimonas_maccroryi,0.11395145148356053,0.007839764705882353,-3.8614651185077697,1.0070187716805121e-30,0.0048115477145148355,0.1411764705882353,1.6903529381780024e-30,True
s__Massilia_forsythiae,7.137129109863672e-06,0.032628411764705885,12.158477063124646,1.3204732375342702e-30,0.0024057738572574178,0.12352941176470589,2.2118618800626453e-30,True
s__Saccharopolyspora_sp_HNM0986,1.7478669206094628,0.02063429411764706,-6.404407441953956,2.6299459332493548e-30,0.04330392943063352,0.3,4.396081172941913e-30,True
s__Leuconostoc_mesenteroides,0.035391146752205296,0.005259235294117646,-2.7504635372720903,6.126119491924667e-30,0.009623095429029671,0.16470588235294117,1.0218725415548661e-29,True
s__Arthrobacter_pityocampae,0.0003423817161186848,0.0033172352941176473,3.2763034033201035,1.2033787493829014e-29,0.0056134723336006415,0.1411764705882353,2.0031242099102879e-29,True
s__Propioniciclava_sp_MC1595,0.2885482919005613,0.03712305882352941,-2.9584252934067354,1.4740749911067508e-29,0.09703287890938252,0.38823529411764707,2.4486193719216088e-29,True
s__Pantoea_vagans,0.047494931836407385,0.016557176470588235,-1.5203168985633522,2.146867920989363e-29,0.010425020048115477,0.16470588235294117,3.5588121760798776e-29,True
