metric,control_mean,case_mean,difference,percent_difference,test_statistic,p_value,significant
Richness,51.14915797914996,71.64117647058823,20.492018491438273,40.06325675936147,81027.0,5.832940901465587e-07,True
Shannon,1.3632477304946993,2.0397872964015424,0.6765395659068432,49.627045090428176,78913.5,5.795888864671078e-08,True
Simpson,0.5003850297844835,0.6011611139800908,0.10077608419560724,20.139708064210403,84147.5,1.2060661005063639e-05,True
