covariate,control_mean,case_mean,p_value,significant,control_n,case_n
latitude,22.73489355521617,35.726234,7.512436541256489e-12,True,1781,170
longitude,18.932808024368335,113.35398364705883,1.879082126334507e-80,True,1781,170
elevation_meters,135.2889140271493,60.0,2.293172246382709e-95,True,884,106
