species,control_mean,case_mean,log2_fold_change,p_value,control_prevalence,case_prevalence,p_adjusted,significant
s__Parabacteroides_distasonis,0.049535517241379314,0.005953117647058823,-3.056745984584059,1.2664884695699893e-07,0.18524458700882118,0.023529411764705882,4.18111511221281e-07,True
s__Budvicia_aquatica,0.012591828388131516,0.0,-26.90791255440515,1.2670045794584274e-07,0.14434643143544507,0.0,4.18111511221281e-07,True
s__GGB1627_SGB2230,0.024557794707297513,7.3529411764705884e-06,-11.705552333842483,1.3315067006887865e-07,0.15316760224538895,0.0058823529411764705,4.3682763689263697e-07,True
s__Pseudomonas_fluvialis,0.023546495589414594,0.0004008823529411765,-5.8761892857452995,1.3558579515188013e-07,0.15477145148356056,0.0058823529411764705,4.422304132570044e-07,True
s__Moraxella_osloensis,0.707102646351243,0.47550117647058826,-0.5724707479835561,1.416942895635661e-07,0.2814755412991179,0.5588235294117647,4.594826384113329e-07,True
s__Acinetobacter_portensis,0.026410705693664792,0.0,-27.97654761537158,1.518873252857547e-07,0.14274258219727345,0.0,4.869074126316432e-07,True
s__Dechloromonas_agitata,0.4094220689655172,0.0,-31.930941723991104,1.518873390562167e-07,0.14274258219727345,0.0,4.869074126316432e-07,True
s__Acinetobacter_celticus,0.03575789093825181,0.0,-28.41368640953573,1.6627292355442548e-07,0.14194065757818766,0.0,5.270006221131791e-07,True
s__Simplicispira_sp_110,0.01921432237369687,0.0,-27.517606864769935,1.6627292355442548e-07,0.14194065757818766,0.0,5.270006221131791e-07,True
s__Parabacteroides_merdae,0.020269783480352847,0.0033088235294117647,-2.6149403866105336,1.7070592830622687e-07,0.15396952686447474,0.0058823529411764705,5.380113807853555e-07,True
s__Barnesiella_intestinihominis,0.044202381716118684,0.0006977647058823529,-5.985239467969543,1.732153881480056e-07,0.16038492381716118,0.011764705882352941,5.428705740281069e-07,True
s__Pseudoxanthomonas_mexicana,0.07453629510825982,0.0024152941176470584,-4.947672266437819,1.7926012799467864e-07,0.17802726543704891,0.023529411764705882,5.586940655834151e-07,True
s__GGB4962_SGB6925,0.01320898957497995,0.0,-26.976944881502067,1.8200107175834313e-07,0.14113873295910184,0.0,5.641027693725442e-07,True
s__GGB9635_SGB15106,0.026487706495589413,0.0,-27.98074769429738,1.991952194095091e-07,0.14033680834001605,0.0,6.106476949813997e-07,True
s__Simplicispira_metamorpha,0.06341303929430633,0.0,-29.240204286139623,1.9919523740034964e-07,0.14033680834001605,0.0,6.106476949813997e-07,True
s__Perlucidibaca_piscinae,4.129906696070569,0.02943835294117647,-7.132268417479466,2.0512875794369182e-07,0.07698476343223737,0.21764705882352942,6.254197456870169e-07,True
s__GGB4713_SGB6526,0.05062487570168404,5.182352941176471e-05,-9.932020691537469,2.101486999236617e-07,0.1491579791499599,0.0058823529411764705,6.372617332820228e-07,True
s__Acinetobacter_towneri,0.035747818765036084,0.0018848823529411763,-4.245308758754905,2.4696123866017105e-07,0.16840417000801924,0.01764705882352941,7.448669617653546e-07,True
